locus_tag,gene
Rv0490-Rv0491,senX3-regX3
Rv1908c,katG
Rv0470c,pcaA
Rv3130c,tgs1
Rv2930,fadD26
Rv2136c,Rv2136c
Rv0990c,Rv0990c
Rv0174,mce1F
Rv1348,irtA
Rv3664c,dppC
